subjectID,first_second_session,combination_of_trials,inserted_position,first_target,second_target,order_of_stimulus,subject,date,c1,c2,c3,c4,c5,c6,c7,c8,c9,retention_task,age
5,2,3,#6,6,8,12,5,2022/8/28,0,0,0,0,0,1,0,0,0,1,children
6,1,1,#9,0,4,1,6,2022/8/29,0,0,0,1,0,0,0,0,0,2,children
6,1,1,#6,4,9,2,6,2022/8/29,0,0,0,1,0,0,0,0,1,1,children
6,1,1,#9,6,7,3,6,2022/8/29,0,0,0,0,0,1,1,0,0,2,children
6,1,1,#9,0,6,4,6,2022/8/29,0,0,0,0,0,1,0,0,0,2,children
6,1,1,#6,6,9,5,6,2022/8/29,0,0,0,0,1,0,0,0,1,1,children
6,1,1,#6,6,8,6,6,2022/8/29,0,0,0,0,0,1,0,1,0,1,children
6,1,1,#6,5,7,7,6,2022/8/29,0,0,0,0,1,0,1,0,0,1,children
6,1,1,#9,0,9,8,6,2022/8/29,0,0,0,0,0,0,0,0,1,2,children
6,1,1,#9,4,9,9,6,2022/8/29,0,0,0,1,0,0,0,0,1,2,children
6,1,1,#9,5,9,10,6,2022/8/29,0,0,0,0,1,0,0,0,1,2,children
6,1,1,#6,4,7,11,6,2022/8/29,0,0,0,1,0,0,1,0,0,2,children
6,1,1,#9,6,9,12,6,2022/8/29,0,0,0,0,1,0,0,0,1,2,children
7,1,3,#6,4,8,1,7,2022/9/1,0,0,1,0,0,0,0,0,0,1,children
7,1,3,#9,5,8,2,7,2022/9/1,0,0,0,0,1,0,0,0,0,1,children
7,1,3,#9,0,9,3,7,2022/9/1,0,0,0,0,0,0,0,0,1,2,children
7,1,3,#9,5,9,4,7,2022/9/1,0,0,0,0,0,0,0,0,1,2,children
7,1,3,#6,5,8,5,7,2022/9/1,0,0,0,0,1,0,0,0,0,1,children
7,1,3,#9,0,8,6,7,2022/9/1,0,0,0,0,0,0,0,1,0,2,children
7,1,3,#9,4,9,7,7,2022/9/1,0,0,0,0,0,0,0,0,1,2,children
7,1,3,#9,0,5,8,7,2022/9/1,0,0,0,0,1,0,0,0,0,2,children
7,1,3,#6,4,9,9,7,2022/9/1,0,0,0,1,0,0,0,0,0,1,children
7,1,3,#9,6,8,10,7,2022/9/1,0,0,0,0,0,0,0,1,0,2,children
7,1,3,#9,6,9,11,7,2022/9/1,0,0,0,0,0,0,0,0,1,2,children
7,1,3,#6,4,7,12,7,2022/9/1,0,0,0,1,0,0,0,0,0,1,children
8,1,2,#9,4,9,1,8,2022/9/9,0,0,0,0,0,0,0,0,1,2,children
8,1,2,#9,0,6,2,8,2022/9/9,0,0,0,0,0,0,0,0,1,2,children
8,1,2,#6,5,8,3,8,2022/9/9,0,0,0,0,0,1,0,0,0,1,children
8,1,2,#9,6,9,4,8,2022/9/9,0,0,0,0,0,0,0,0,1,2,children
8,1,2,#9,0,5,5,8,2022/9/9,0,0,0,0,0,0,0,0,1,2,children
8,1,2,#6,5,9,6,8,2022/9/9,0,0,0,0,0,1,0,0,0,1,children
8,1,2,#9,4,7,7,8,2022/9/9,0,0,0,0,0,0,0,0,1,2,children
8,1,2,#9,6,8,8,8,2022/9/9,0,0,0,0,0,0,0,0,1,2,children
8,1,2,#6,4,9,9,8,2022/9/9,0,0,0,0,0,1,0,0,0,1,children
8,1,2,#6,6,7,10,8,2022/9/9,0,0,0,0,0,1,0,0,0,1,children
8,1,2,#9,4,8,11,8,2022/9/9,0,0,0,0,0,0,0,0,1,2,children
8,1,2,#9,0,9,12,8,2022/9/9,0,0,0,0,0,0,0,0,1,2,children
9,2,1,#9,0,5,1,9,2022/9/10,0,0,0,0,1,0,0,0,0,2,children
9,2,1,#9,6,8,2,9,2022/9/10,0,0,0,0,0,1,0,1,0,2,children
9,2,1,#6,4,8,3,9,2022/9/10,0,0,0,1,0,0,0,1,0,1,children
9,2,1,#6,5,9,4,9,2022/9/10,0,0,0,0,1,0,0,0,1,1,children
9,2,1,#9,0,8,5,9,2022/9/10,0,0,0,0,0,0,0,1,0,2,children
9,2,1,#6,6,7,6,9,2022/9/10,0,0,0,0,0,1,1,0,0,1,children
9,2,1,#9,4,7,7,9,2022/9/10,0,0,0,1,0,0,1,0,0,2,children
9,2,1,#9,5,7,8,9,2022/9/10,0,0,0,0,1,0,1,0,0,2,children
9,2,1,#6,5,8,9,9,2022/9/10,0,0,0,0,1,0,0,1,0,1,children
9,2,1,#9,0,7,10,9,2022/9/10,0,0,0,0,0,0,1,0,0,2,children
9,2,1,#9,5,8,11,9,2022/9/10,0,0,0,0,1,0,0,1,0,2,children
9,2,1,#9,4,8,12,9,2022/9/10,0,0,0,0,0,0,0,0,0,2,children
10,2,2,#9,0,7,1,10,2022/9/10,0,0,0,0,0,0,1,0,0,1,children
10,2,2,#6,6,9,2,10,2022/9/10,0,0,0,0,0,1,0,0,0,1,children
10,2,2,#9,5,8,3,10,2022/9/10,0,0,0,0,1,0,0,0,0,1,children
10,2,2,#9,0,8,4,10,2022/9/10,0,0,0,0,0,0,0,1,0,1,children
10,2,2,#6,4,7,5,10,2022/9/10,0,0,0,1,0,0,0,0,0,1,children
10,2,2,#9,5,9,6,10,2022/9/10,0,0,0,0,1,0,0,0,0,1,children
10,2,2,#9,0,4,7,10,2022/9/10,0,0,0,1,0,0,0,0,0,1,children
10,2,2,#6,6,8,8,10,2022/9/10,0,0,0,0,0,1,0,1,0,1,children
10,2,2,#9,5,7,9,10,2022/9/10,0,0,0,0,1,0,1,0,0,1,children
10,2,2,#6,5,7,10,10,2022/9/10,0,0,0,0,1,0,1,0,0,1,children
10,2,2,#6,4,8,11,10,2022/9/10,0,0,0,1,0,0,0,1,0,1,children
10,2,2,#9,6,7,12,10,2022/9/10,0,0,0,0,0,1,1,0,0,1,children
11,1,1,#9,6,7,1,11,2022/9/10,0,0,0,0,0,1,0,1,0,2,children
11,1,1,#6,4,9,2,11,2022/9/10,0,0,0,0,0,1,0,0,0,1,children
11,1,1,#6,4,7,3,11,2022/9/10,0,0,0,0,0,0,0,1,0,1,children
11,1,1,#9,0,6,4,11,2022/9/10,0,0,0,0,0,1,0,0,0,2,children
11,1,1,#9,4,9,5,11,2022/9/10,0,0,0,0,0,0,0,0,1,2,children
11,1,1,#9,5,9,6,11,2022/9/10,0,0,0,1,0,0,0,0,0,2,children
11,1,1,#6,6,9,7,11,2022/9/10,0,1,1,1,1,1,0,0,0,1,children
11,1,1,#6,6,8,8,11,2022/9/10,0,0,0,1,0,0,0,0,0,1,children
11,1,1,#9,0,4,9,11,2022/9/10,0,0,0,0,1,0,0,0,0,2,children
11,1,1,#9,6,9,10,11,2022/9/10,0,0,0,0,0,0,0,0,1,2,children
11,1,1,#6,5,7,11,11,2022/9/10,0,0,0,0,0,0,0,0,1,1,children
11,1,1,#9,0,9,12,11,2022/9/10,0,0,0,0,0,1,0,0,0,2,children
12,1,3,#6,4,8,1,12,2022/9/11,0,1,0,0,0,0,0,0,0,1,children
12,1,3,#6,4,7,2,12,2022/9/11,0,1,0,0,0,0,0,0,0,1,children
